v1,v2,,,
spam,wow it's amazing get a daily bonus of $ 1- $ 100 / day 🔥Hapo App 💰WOW! Reward distribution $20.000/Day.... up to $ 30000/day ⚡️No KYCNo depo ⚡️1000% Legit ▶ https://bit.ly/2NqiEiU Step: ⚡️Register with a gmail account ⚡️ Download apk Hapo Wallet ⚡️ Open the Hapo apk sign in with the account that was previously registered in website ⚡️ Share your link referral to get bonus reward Gems. ⚡️hurry up and register friend👇👇👇 ⚡️ https://bit.ly/2NqiEiU,,,
spam,Link Referral Kamu adalah t.me/shareduit_bot?start=1375429150 Yuk Share Sebanyak-banyaknya Dan dapatkan komisi sebanyak mungkin. Kamu Bisa SHARE Ke Grup Teman Baik itu Facebook Whatsapp Telegram YouTube Instagram atau dimana saja Kamu bebas share Dimanapun Kapanpun dan Kepada Siapapun.,,,
spam,Link Referral Kamu adalah t.me/shareduit_bot?start=1074702975 Yuk Share Sebanyak-banyaknya Dan dapatkan komisi sebanyak mungkin. Kamu Bisa SHARE Ke Grup Teman Baik itu Facebook Whatsapp Telegram YouTube Instagram atau dimana saja Kamu bebas share Dimanapun Kapanpun dan Kepada Siapapun.,,,
spam,Hay Kakak Sayang.... 😍😍 Nih Link Referral Kamu t.me/VCS_CLUB_IDBOT?start=1586711209 Bagikan sebanyak-banyaknya dan Tukarkan biar bisa VCS sama aku 😍😍,,,
spam,Daripada Gabut Mending Ikut Aku Main Telegram Yaitu Tugas Berhadiah... Yuk Mulai Tugas Dan Dapatkan Banyak Penghasilan Sampingan Kayak Aku... 1 Referral : Rp 2.500 Minimal Penarikan : 50.000 Join Langsung Dapat Rp 10.000 Secara Cuma-cuma.. t.me/kerjain_tugas_bot?start=943969786 Silahkan Share Ke Teman2 Kamu Sebanyak-banyaknya...,,,
spam,Bitcoin For Free: Withdrawal is available for the user who invited 10 person At the moment you have invited 4 friends Invite friends and receive 2 BTC-ticket for each friend! Your referral link: http://t.me/btc_ticket_bot?start=581051340 Several users have reported this bot as a scam. We advise extreme caution when dealing with it. Note that this bot is not related to Telegram in any way its developers are entirely independent.,,,
spam,Untuk belajar investasi IB menyediakan versi paper money (virtual money) senilai 1jt USD. Kita bisa beli saham Apple Tesla Microsoft beneran Live Trading di AS dengan paper money tersebut untuk belajar dan lihat sendiri berkembangnya paper money tersebut. IB juga salah satu broker terbaik dan sudah bertahun2 selalu terbaik. Jadi tidak perlu uang beneran dulu. https://www.stockbrokers.com/guides/best-international-brokers,,,
spam,Hi Sobat Sanber! 🙌 Batch ke-20 sudah buka lho.. 🔥🔥Discount menarik pake kode ( KAMIL ITB ) 🔥🔥 Yuk Kuasai skill programing dan desain di SanberCode Bootcamp Online Intensif Interaktif! ✨ Ada kelas dasar untuk yang baru mulai atau mau nguatin basicnya.. ✨ Ada kelas proyek dimana kamu akan diajarkan menyelesaikan proyek.. ✨ Ada kelas mitra dari kerjasama dengan mitra Sanbercode.. Berikut Kelas yang kita buka: == Kelas Dasar == - Biaya investasi 200rb - Lama pelatihan 4 pekan - Tidak ada syarat minimum skill Kelas yang dibuka : 1. Python - Data Science 2. Laravel - Web Development 3. React Native - Mobile Apps Dev 4. UI/UX Design 5. React JS - Web Frontend Dev 6. WordPress - CMS Web 7. Adobe & Blender - Graphic Design -------------------------------------------------- == Kelas Proyek == - Biaya investasi 300rb - Lama pelatihan 4 pekan - Terdapat prasyarat minimum skill Kelas yang dibuka : 1. Analisis opini publik menggunakan Python data science 2. Pembuatan aplikasi mobile crowdfunding menggunakan React Native 3. Pembuatan website crowdfunding menggunakan Laravel + Vue JS -------------------------------------------------- == Kelas Mitra == - Biaya investasi 100rb - Lama pelatihan 2 pekan - Tidak ada syarat minimum skill Kelas yang dibuka: 1. Agile Development Using Scrum -------------------------------------------------- ✅ Bootcamp ini terbuka untuk umum dan tanpa seleksi di awal. ✅ Dilatih oleh trainer profesional berpengalaman dan dapat sertifikat resmi. ✅ Bisa mendapatkan peluang project dan kesempatan bekerja di perusahaan mitra SanberCode. ✅ Materi kelas dan grup diskusi dapat diakses kapan pun setelah kelas berakhir. 📣 PENDAFTARAN terakhir 5 Desember 2020 📆 Kelas dimulai tanggal 7 Desember 2020 Info detail materi teknis pelaksanaan dan pendaftaran klik link web @sanbercode di bio.. Info lebih lanjut bisa chat WA: +62821-3061-0581 atau DM langsung aja! 👇 https://bit.ly/393edr2 https://bit.ly/393edr2 https://bit.ly/393edr2 https://bit.ly/393edr2 https://bit.ly/393edr2 https://bit.ly/393edr2 https://bit.ly/393edr2,,,
spam,Hi Sobat Yuk Upgrade Skill Kuasai digital skill programing dan desain di SanberCode Bootcamp! - Online - Intensif - Interaktif - Mulai Bulan Ramadhan ini semua kelas bootcamp levelnya jadi beginner jadi klo kamu baru mau mulai bisa ikut kelas mana aja yuk dipilih kelasnya! Ada 4 kelas baru juga lho! Kelas yang dibuka : 1. Python - Data Science 2. Laravel - Web Development 3. React Native - Mobile Apps Dev 4. FLutter - Mobile Apps Dev✨ 5. React JS - Web FrontEnd Dev 6. Vue JS - Web FrontEnd Dev✨ 7. Python - BackEnd Microservices✨ 8. NodeJS - BackEnd with Adonis✨ 9. Wordpress Dev 10. UI/UX Design 11. Ai Ps Blender - Grafik & 3D Design - Biaya investasi 200rb - Lama pelatihan 4 pekan - Tidak ada syarat minimum skill 12. Agile Dev using SCRUM - Biaya investasi 100rb - Lama pelatihan 2 pekan - Tidak ada syarat minimum skill -------------------------------------------------- ⭐ Bootcamp ini terbuka untuk umum dan tanpa seleksi di awal. ⭐ Dilatih oleh trainer profesional berpengalaman dan dapat sertifikat resmi. ⭐ Bisa mendapatkan peluang project dan kesempatan bekerja di perusahaan mitra SanberCode. ⭐ Materi kelas dan grup diskusi dapat diakses kapan pun setelah kelas berakhir. 📣 PENDAFTARAN 3 April - 24 April 2021 📆 Kelas dimulai tanggal 26 April 2021 Info detail materi teknis pelaksanaan dan pendaftaran klik link sanbercode.com Buat yang ingin daftar dan dapatkan diskon 10% silahkan Masukan kode voucher : RAMADHAN,,,
spam,[Learn From Home] Hay guys.. 👋🏻 Yuk.. Tetap jaga kesehatan tubuh untuk diri sendiri dan keluarga.. Dengan cara tetap jaga kebersihan #Stayhome dan jangan lupa untuk selalu #Belajardirumah 🖥️🏠 . . Nah kebetulan nih admin hadir mau kasih tahu ke kamu bahwa Mastereal memiliki berbagai macam program pelatihan yang tentunya menarik untuk kamu pelajari dan kabar gembiranya lagi kami punya *DISKON SPESIAL* untuk kamu yang mendaftar di bulan ini diantaranya : . 🔖 Pelatihan Desain Grafis : Materi : Adobe Illustrator Dasar Waktu : 08.00-11.00 WIB Tanggal : 12 Juli 2020 Benefit : Modul dan Sertifikat Biaya Pelatihan : Rp.50.000- . 🔖 Pelatihan Video Editing : Materi : Adobe Premiere Pro Dasar Waktu : 08.00 - 11.00 WIB Tanggal : 19 Juli 2020 Benefit : Modul dan Sertifikat Biaya Pelatihan : Rp. 50.000- . 🔖 Pelatihan Game 3 Dimensi : Materi : Unity Dasar Waktu : 08.00 - 11.00 WIB Tanggal : 01-23 Agustus 2020 [ 1 Bulan 8 Pertemuan di hari weekend ] Benefit : Modul dan Sertifikat Biaya Pelatihan : Rp. 250.000- . Seluruh Pelatihan Menggunakan VIA : Google Meet . Tentunya ini berlaku juga untuk kamu yang tidak memiliki basic IT ataupun diantara kamu yang baru belajar IT di tahun ini investasi leher keatas jauh lebih baik dari pada investasi leher kebawah ambil kesempatan ini untuk jenjang karir kamu yang lebih baik. . SEGERA DAFTARKAN DIRI KAMU SEKARANG JUGA SEBELUM KEHABISAN..!! . 💢 KUOTA TERBATAS..!!! . Berkenan mengikuti pelatihan ini? Silahkan daftar diri kamu pada kontak yang dicantumkan dibawah ini . 📝Informasi & Pendaftaran ☎️WA : 0856-4851-4787 . Terimakasih. . Salam Tim Mastereal,,,
spam,Kursus Online One Stop Services E-Commerce & Digital Marketing Dapatkan ladang income bisnis online mulai dari : 1. Cara membuat situs e-commerce menggunakan Wordpress & Woocommerce dengan tools lengkap: hitung ongkir otomatis konfirmasi pembayaran otomatis automatic post product ke akun sosial media modul promo dan voucher chat online ke Whatsapp Messenger Bot. 2. Tehnik Social Media Marketing cara mendapatkan audience tertarget menggunakan Audience Insights mengukur lokasi yang profitable untuk menjual produk membuat campaign super hemat mulai dari 10.000/hari retargeting audience menggunakan Facebook Pixel integrasi ke Woocommerce mengukur efektifitas campaign menggunakan Facebook Insights meningkatkan brand awareness dan traffic ke e-commerce. 3. Tools gratis Social Media Marketing mengukur efektifitas Fanspage (hootsuite) auto schedule post di semua akun social media membuat messenger bot (auto reply chat) di Fanspage. 4. Tools gratis membuat konten branding yang elegan (Canva Desygner) Benefit: 1. Anda akan saya masukkan ke channel premium dan dapat konsultasi bisnis SELAMANYA tanpa harus re-invest lagi. 2. Anda akan mendapatkan tips trik ter-update mengenai Social Media & E-Commerce. 3. Produk Anda akan masuk ke Marketplace saya dan bisa Go International (future update) 4. Mendapatkan free domain dan hosting selama 1 tahun dengan kapasitas bandwidth unlimited dan space 1 GB Investasi: Semua fasilitas diatas bisa Anda dapatkan hanya dengan 6juta rupiah. Bisa Anda bandingkan dengan kompetitor lain dan saya akan memberikan garansi closing sampai ROI 100% (modal investasi Anda kembali). Pendaftaran: Klik https://goo.gl/qMPivo Klik https://goo.gl/qMPivo Klik https://goo.gl/qMPivo,,,
spam,👨🏻‍💻 ONLINE WORKSHOP 👩🏻‍💻 Hi! Bagaimana kabarnya? 👋 Masa #StayAtHome tidak boleh menjadi alasan untuk bermalas-malasan ya. Jarak fisik memang harus dijaga tapi jarak dengan teknologi harus tetap dekat. Mari gunakan kesempatan ini untuk tetap up to date. Sebagai bentuk dukungan terhadap anjuran #StayAtHome.Kali ini kami mengajak kamu untuk tetap bersama – sama menjelajah teknologi meskipun dari rumah. Untuk itu tim Technaut telah menyediakan webinar dengan berbagai bahasan. 🗓 Sabtu 27 Juni 2020 ⏰ 10.00-12.30: Mengambil Data Konten dari Situs Berita (Web Scrapping) ⏰ 13.00-15.30: Menganalisa Alur Penyebaran Informasi di Media Sosial. 🗓 Minggu 28 Juni 2020 ⏰ 10.00-12.30: Menganalisa Konten Percakapan di Media Sosial ⏰ 13.00-15.30: Membuat Dasboard Bisnis dengan Tableau. 💸 Investasi: Early Bird: IDR 100.000/bahasan Normal: IDR 150.000/bahasan _*Early Bird sampai dengan 21 Juni 2020_ 💼 *Fasilitas:* - _E-certificate_ - Dokumentasi webinar- - Modul Pembelajaran - _Reusable code_ - Diskusi Interaktif *Link Pendaftaran:* _https://technaut.co/onlineworkshop/_ *📲Contact Person:* _Wa.me/6282126298086_ *Sampai jumpa di Online Workshop!* 🤗✨,,,
spam,TERMURAH! HANYA 45 JUTA RUPIAH PENDIRIAN BADAN USAHA PT! PROMO UPDATE KBLI 2020 & OSS BERBASIS RISIKO TERBARU! ---------------------------------- *KBLI (Klasifikasi Baku Lapangan Usaha Indonesia) / Bidang Usaha terakhir menggunakan KBLI 2017 per awal Agustus 2021 sudah update menggunakan KBLI 2020 *OSS (Online Single Submission) meliputi Nomor Induk Berusaha (NIB) Izin Usaha Izin Lokasi per awal Agustus 2021 sudah update menggunakan berbasis risiko AYO UPDATE KBLI & OSS PERUSAHAAN ANDA AGAR DAPAT MENYESUAIKAN DENGAN PERATURAN BADAN USAHA TERBARU DI INDONESIA! ---------------------------------- Melayani Jasa Usaha Lainnya (Selain Jasa Legal Perusahaan): - Jasa Keuangan Perusahaan meliputi pembukuan perpajakan audit dan penasihat investasi - Jasa Promosi Perusahaan meliputi media online media cetak serta televisi nasional top ternama ---------------------------------- Info lengkap silahkan cek flyer dan hubungi Tim UrusLegal: 081222123451 (Whatsapp) ---------------------------------- NB: PROMO SAMPAI 30 SEPTEMBER 2021 TERBATAS UNTUK 20 PEMESAN TERCEPAT!,,,
spam,Assalamu'alaikum Selamat Pagi Rekan-rekan Mohon Izin share >>> Training Odoo Functional Batch #11 📣 Ikuti 4 Hari Training Odoo Functional fundamental basic bersama Arkana. 🔅Hari : 2 x weekend class 🔅Tanggal : 9 - 10 & 16 - 17 Januari 2021 🔅Tempat : Via Online zoom apps ✅ Investasi : Rp. 3.500.000 ✅ Free modul ✅ Recording ✅ Sertifikat 💲Diskon 20 % dari 3.500.000 menjadi 2.800.000 untuk pendaftar yang melakukan pelunasan sebelum tanggl 04 Januari 2021 ⚠️ Limited seat 📣 Ayo segera daftar di WA 0813 9819 7699,,,
spam,Mohon izin Share >>>> Training Odoo Functional Batch #9 fundamental Basic Terbuka untuk semua kalangan mulai dari mahasiswa Karyawan ataupun bisnis owner 📣 Ikuti 4 Hari Training Odoo Functional bersama Arkana. 🔅Hari : 2 x weekend class 🔅Tanggal : 7-8 & 14 - 15 November 2020 🔅Tempat : Via Zoom Apps ✅ Investasi : Rp. 3.500.000 ✅ Free modul 💲Diskon 20 % dari 3.500.000 menjadi 2.800.000 ⚠️ Limited seat 📣 Ayo segera daftar di WA 0813 9819 7699 Atau klik bit.ly/TrainingArkana,,,
spam,Mohon izin Share >>>> Training Odoo Functional Batch #6 fundamental Basic Terbuka untuk semua kalangan mulai dari mahasiswa Karyawan ataupun bisnis owner 📣 Ikuti 4 Hari Training Odoo Functional bersama Arkana. 🔅Hari : 2 x weekend class 🔅Tanggal : 15-16 & 22 - 23 Agustus 2020 🔅Tempat : Victoria Hills Business Park No.33 D Jl Tole Iskandar Depok-Jawa Barat ✅ Investasi : Rp. 6.500.000 ✅ Free modul ✅ Cofee & Snack ✅ Lunch 💲Diskon 20 % dari 6.500.000 menjadi 5.200.000 untuk pendaftar yang melakukan pelunasan sebelum tanggal 12 Agusutus 2020 ⚠️ Limited seat 📣 Ayo segera daftar di WA 0813 9819 7699 Atau klik bit.ly/TrainingArkana,,,
spam,[ BISMILLAH PERMISI DAGANG PROMO INTERNET DOUBLE BANDWITH ] Halo semuanya para agan-agan dan sedulur-sedulur yang terhormat mau menginformasikan nih untuk internet oxygen.id lagi ada promo berkah Idul Adha double bandwith mulai tanggal 03-15 Agustus 2020 internet segmen kantor yang stabil dan berkualitas tentunya terjangkau dong... berikut kisi-kisi price nya yaa : Untuk Up to bisnis : 10 mbps double bandwith menjadi 25 mbps = 650 rb 25 mbps double bandwith menjadi 50 mbps = 1.5 jt 50 mbps double bandwith menjadi 100 mbps = 2.5 jt Noted : *Harga diatas belum termasuk Ppn 10% *Harga diatas untuk coverage area *syarat dan ketentuan berlaku Yuuk tunggu apa lagi beralih ke oxygen.id internet kantor cepat dan stabil... Terima Kasih 🙏🏻🙏🏻 Best Regards Putra Info lebih lanjut bisa hubungi 085782500477 on wa fast respon,,,
spam,Mohon Izin Share >>>> Training Odoo Functional Batch #6 fundamental Basic Terbuka untuk semua kalangan mulai dari mahasiswa Karyawan ataupun bisnis owner 📣 Ikuti 4 Hari Training Odoo Functional bersama Arkana. 🔅Hari : 2 x weekend class 🔅Tanggal : 15-16 & 22 - 23 Agustus 2020 🔅Tempat : Victoria Hills Business Park No.33 D Jl Tole Iskandar Depok-Jawa Barat ✅ Investasi : Rp. 6.500.000 ✅ Free modul ✅ Cofee & Snack ✅ Lunch 💲Diskon 20 % dari 6.500.000 menjadi 5.200.000 untuk pendaftar yang melakukan pelunasan sebelum tanggal 12 Agusutus 2020 ⚠️ Limited seat 📣 Ayo segera daftar di WA 0813 9819 7699 Atau klik bit.ly/TrainingArkana,,,
spam,🌐🌐🌐🌐🌐🌐🌐🌐🌐🌐🌐🌐I feel like the happiest person in the world since I get to know this new Crypto channel. I'm sharing my testimony because I want the whole world to know about this real channel follow his to see his good works 👇👇👇👇👇 https://t.me/+Ab3H8b6jeiYyNGQ0 https://t.me/+Ab3H8b6jeiYyNGQ0 https://t.me/+Ab3H8b6jeiYyNGQ0,,,
spam,Don't be a fool to any one here is the legit platform where you can earn alot of profit more the you expected so many people are using fake testimony and proof to full you ..so if you are interested in joining the team kindly click on the link below 👇👇👇👇 https://t.me/+hBsiH2lgT5BiYzhk,,,
spam,Cara mendapatkan uang dan pulsa gratis sebanyak 50k+ Tutorial : 1. Buka link ini https://coins.id/m/join/yhrb5i (wajib pake link disamping supaya dapet bonus nya) terus daftar pake no hp agan (kalo error download aplikasinya playstore) 2. Setelah daftar langsung lengkapin deh syarat2nya supaya dapet bonusnya. Syaratnya : Isi data diri sesuai KTP (jgn fake) Selfie Foto KTP (apabila ingin lbh mudah download aplikasinya di playstore lalu foto lwat aplikasi) (ktp gaakan disalah gunakan krn perusahaan besar dan dpt dipercaya hanya untuk mengisi data pribadi) 3. Tunggu 2-3 hari nnti masuk reward nya kalo mau cepet bisa contact supportnya Reward yg didapat : 0.0013 BTC atau setara 50ribuan dan bisa langsung dicairin ke bank dengan syarat nama bank sama dengan nama di KTP tp kalo ente ga punya bank bisa ditukerin ke PULSA dll (bisa juga cairin lewat ane fee 5k kalo beda bank +fee bank) Setelah dapet rewardnya kalian jg bisa mendapatkan reward lg dengan cara share link ref kalian setiap teman yg memverifikasi foto ktp dan selfie kalian akan mendapat 0.001 BTC kalo ada yg kurang jelas bisa tanya ane identity nya masukin ini aja Indentity verification : - Pilih This is my firstg coins account next - General : Isi data diri - Source of funds : Self-employed Pilih salah satu jenis pekerjaan di bawah ini : 👉 Company name : Online Shop Occupation : Selling mobile phone Nature/bussines pilih : Electronic 👉 Company name : Bookstore Occupation isi : Selling book Nature/bussines pilih : Education Inget foto KTP nya jangan kebalik bagian depan sama belakangnya dan harus jelas fotonya. Kalo butuh bantuan PM ane aja,,,
spam,We are recruiting investment partners in our large project. For all questions write to our mail glanceinfopro@gmail.com ✍️ We announce open bidding for partners!?? For the first transaction in our wallet we pay you a bonus of 0.0082105 BTC SESSION stock limited https://t.me/Cryptoglance 🍀🍀🍀🍀,,,
spam,OMG!!! BTC PRIСЕ 1.000.000$$$$ 👉👉👉 https://cutt.ly/3zPOaer,,,
spam,Woow😍 Binance opened airdrop🚀 Anyone can get BTC or ETH🚀🚀🚀 Info 👉 https://bit.ly/2YGD6SH,,,
spam,You only need to register with your real name to get 110ATG (worth 10-20 US dollars) airdrop prizes click the link to register and receive it 👉🏻👉🏻👉🏻https://www.cointrano.com/index.html#/register?code=98162873,,,
spam,✅ Doge Floki is a new utilimeme built on Binance Smart Chain 🎉 Join airdrop and get $15 worth Doge Floki! https://t.me/Doge_floki_airdrop_bot?start=r04029591850,,,
spam,Beli Magene Heart Rate Monitor Sensor H64 / Magene HRM H64 Ant+ https://tokopedia.link/2LPQGspNjfb di toko GeekyTech Official Rp299.000 di Tokopedia dengan Bebas Ongkir Sekarang!,,,
spam,Saya bisa dapat Rp150.000 dari Lazada. Klik dan bantu Saya menangkan hadiahnya! Download aplikasi Lazada kamu juga bisa menangin hadiahnya! | https://s.lazada.co.id/s.3VELu,,,
spam,Saya bisa dapat Rp150.000 dari Lazada. Klik dan bantu Saya menangkan hadiahnya! Download aplikasi Lazada kamu juga bisa menangin hadiahnya! | https://s.lazada.co.id/s.eGbVf,,,
spam,https://s.lazada.co.id/s.10Xol | Saya akan mendapatkan Rp150.000 dari Lazada. Klik dan bantu saya menangkan hadiahnya. Download aplikasi Lazada dan kamu juga bisa menangkan hadiahnya!,,,
spam,Saya bisa dapat hingga Rp150.000 dari Lazada. Klik dan bantu Saya menangkan hadiahnya! #SharePocketLazadaID | https://s.lazada.co.id/s.gVDJW,,,
spam,Saya bisa dapat Rp199.000 dari Lazada. Klik dan bantu Saya menangkan hadiahnya! #SharePocket99Lazada | https://s.lazada.co.id/s.fdZ4x,,,
spam,Saya bisa dapat Rp199.000 dari Lazada. Klik dan bantu Saya menangkan hadiahnya! #SharePocket99Lazada | https://s.lazada.co.id/s.fdZ4x,,,
spam,Permisi om hanya ingin membagi2 link rezeki. Lumayan bisa dapet dollar/bitcoin. Klo sudah mencukupi saldonya bisa di withdraw lewat perfect money/wallet bitcoin... Lgsg tkp klik start aja om http://t.me/RobotCashBot?start=fcCtVdYv https://t.me/pirate_bay_game_bot?start=kO1RG klo ada yg mau tnya2 silahkan chat terims😊,,,
spam,Saya bisa dapat Rp199.000 dari Lazada. Klik dan bantu Saya menangkan hadiahnya! #SharePocket99Lazada | https://s.lazada.co.id/s.fdZ4x,,,
spam,New Normal 2020 Bersama Team Kerja Cerdas 2020 (http://www.seminar.or.id) Durasi pandemi covid -19 diprediksi akan berlangsung dalam jangka hingga 1-2 tahun ke depan (sesuai prediksi ditemukan dan dipasarkannya vaksin). Business yang akan booming : 1. Life Insurance 2. E-commerce 3. Networking Business/MLM 4. Remote working 5. Logistic 6. Online schooling 7. Webinar/online training 8. Netflix Indihome 9. Telecommunication 10. Telemedicine 11. Cleaning services 12. Wellness 13. Medical equipments 14. Home entertainment 15. Online Transportation Business yang akan terdampak : 1. Hotel 2. Travel 3. Bioskop 4. Mall 5. Retail 6. Entertainment 7. Property 8. MICE (Meeting; Incentive Convention & Exhibition) 9. Persewaan kantor 10. Restoran (tidak ada Dine in). Benefit 1. Work life balance - productivity meningkat 2. cost efisien & produktif 3. Karyawan bersedia dibayar lebih murah Website harus jadi e-commerce Hotel akan food delivery juga Perusahaan kosmetik berubah menjadi produsen hand sanitizer — survival modenya Perusahaan banyak yang akan ke bisnis Frozen food Hotel akan di fungsikan untuk rumah sakit dalam rangka peningkatan omzet ke Business yang sedang trending Ruang guru & zoom semakin booming cloud juga. Makin banyak perusahaan akan mencari survival mode agar dapat cash flow. Ini akan berlangsung dalam kurun waktu yang cukup lama. Sejauh vaksin belum ditemukan WAJIB masker... cuci tangan sering......jaga jarak. Kursi pesawat akan adaptasi beri jarak 0.5 mtr bioskop juga akan jadi separuh kursinya. Sedangkan Perusahaan yang belum masuk digital akan ambil langkah sbb : 1. Arahnya ke cloud IT as services. Masalah capability 2. Jualan lewat socmed 3. Model Direct Business to Consument akan semakin ngetrend seperti Life Insurance yang selama ini sudah familiar dengan model bisnis direct business to consument . Perusahaan akan bangun Marketplace sendiri. Karena mengalami deepening & widening. Produsen harus mengembangkan channelnya sendiri. Modal nyawa perusahaan di data nya. Mereka harus memiliki big data sendiri. 4. Marketplace seperti tokopedia blibli shopee lazada etc akan semakin berkembang. Karena belanja online lebih aman dari terpapar virus covid 19 Strategi marketing di era covid & building branding u/ Business yang sedang bagus mereka harus empatik. CSR harus kuat giving memberikan solusi. Jangan hard sell. Spirit nya membantu. Bagi yang businessnya kurang bagus akan masuk ke survival mode. Perusahaan yg bergerak di otomotif untuk survive tidaklah mudah ada yang mati ada yang survive. Konsumen akan hold spending untuk jaga² kebutuhan yang essential seperti grocery kesehatan & higienitas. Segmentasi pemenuhan kebutuhan pasar. Walaupun big discount konsumen masih tahan spending. Termasuk perusahaan menunda bayar supplier. Kelangsungan hidup menjadi yang utama. Sekolah sudah mulai online course termasuk konsumen. Tips: 1. Jangan berpikir pandemi ini sementara Karena ini bisa 1 -2 tahun (menurut Jack Ma Bill Gates Paul Romer Yuval Harari etc.) 2. Business yang terpuruk harus cari survival mode atau model bisnis baru. 3. Business yang booming harus branding & soft selling jangan hard selling. 4. Makhluk yang bisa survive bukan yang paling besar/kuat/kaya tapi yang paling bisa beradaptasi (Teori Darwin). 5. Hadapi & terima kenyataan. 6. Fokus pada hal yang mungkin dilakukan. 7. Up grade diri untuk bisa beralih dari offline selling ke online selling. 8. Bantu mereka yang harus dibantu peduli dan berbagi. 9. Everything is changing; a new system is coming! Ikuti Infonya di Team Kerja Cerdas http://www.seminar.or.id SUDAHKAH ANDA MEMPERSIAPKAN DIRI ???,,,
spam,Permisi om hanya ingin membagi2 link rezeki. Lumayan bisa dapet dollar/bitcoin. Klo sudah mencukupi saldonya bisa di withdraw lewat perfect money/wallet bitcoin... Lgsg tkp klik start aja om http://t.me/RobotCashBot?start=fcCtVdYv https://t.me/pirate_bay_game_bot?start=kO1RG klo ada yg mau tnya2 silahkan chat terims😊,,,
spam,https://t.me/SaldoGratiz_bot?start=r09542085930 lumayan Rp.5000 per orang ayo ikutan daftar dan bagikan refferal mu dapatkan 5000 per klik,,,
spam,TikTok ada total THR senilai 100 Miliar Rupiah loh! Yuk bagikan THR nya ke keluargamu sekarang! Klik untuk lihat lebih lanjut >> Eksplor TikTok dan dapatkan uang setiap harinya! Unduh aplikasinya sekarang juga! https://vt.tiktok.com/ZGJAmRKcF/,,,
spam,Yuk live bareng sekarang di Instagram & Tiktok @nusamandiri dalam acara Ngobrol Asik Campus Life (NICE) bersama Prodi Informatika UNM Live di Instagram https://www.instagram.com/nusamandiri/live/ Live di Tiktok https://vt.tiktok.com/ZGJUReAGx/,,,
spam,masukkan kode: F3580575 dapatkan bonus tambahan Eksplor TikTok dan dapatkan uang setiap harinya! Unduh aplikasinya sekarang juga! https://vt.tiktok.com/ZSceARSF/,,,
spam,BUG FESTIVAL Timeline : 24 April - 28 April Monsteroar mengadakan event Bug Festival dimana kalian akan mendapatkan hadiah total sebesar 350.000 untuk 3 pemenang. Hadiah utama untuk bug report yang paling lengkap dan bagus sebesar Rp 200.000 Hadiah kedua Rp 100.000 Hadiah ketiga Rp 50.000 Rules - Bug Report harus lengkap detail dan ada cara reproduce bugnya . - Screenshot - Pemenang dipilih oleh tim developer Monsteroar dan keputusan tidak bisa diganggu gugat BEST IDEA Timeline : 24 April - 28 April Monsteroar mengadakan event Best Idea/ Feedback dimana kalian akan mendapatkan sebesar Rp 150.000 untuk satu pemenang. Rules - Feedback bisa berupa perbaikan / improvement dari portal monsteroar atau tambahan fitur dan semacamnya. - Pemenang dipilih oleh tim developer Monsteroar dan keputusan tidak bisa diganggu gugat Note: Seluruh hadiah berupa saldo Gopay atau OVO ke nomor pemenang. Link Game: https://monsteroar.com Link bug report https://monsteroar.com/bug-report Link Feedback https://monsteroar.com/feedback,,,
spam,Bukti Cashtree Benar Memberikan Handphone Samsung Galaxy S7 edge & Smartphone Gratis . INFO Promo Besar - besaran akhir tahun Smartphone GRATIS ! dari aplikasi . Berakhir tgl 31 desember . Cashtree bagi-bagi hadiah GRATIS tiap hari! Instal Cashtree sekarang juga aplikasi hadiah GRATIS tanpa basa-basi! Dapatkan Smartphone baru Power Bank serta voucher gratis lainnya! Buruan instal dari link ini untuk dapat Samsung Galaxy S7 edge. 1. Klik link disini http://bit.ly/2mthKs9 2. Otomatis masuk sendiri ke playstore dan unduh aplikasinya. 4. Masukkan no hp untuk Registrasi. 5. Gratis Samsung Galaxy S7 edge Xiaomi point Cash Smartphone gratis Voucher Belanja dan Hadiah serta Event Menarik Lainnya. Promo Terbatas untuk 937 User pendownload Pertama ! @Global_Smartphone @Smartphone_masa_kini,,,
spam,Halo Mahasiswa yang Sudah UAS! Semoga Hasilnya Bagus ya. Bagi yang ingin kursus Programming & Data science tapi justru dapat uang? Hanya di Biezniez.com. Pertama kalinya belajar tidak bayar dan malah berpotensi dapat uang. Dapatkan kursus seharga Rp 1.000.000 malah gratis. Malah dapat hadiah Rp 250.000 dan dapat sertifikat bagi yang beruntung. Pendaftaran ditutup tanggal *1 Agustus 2020*. Urutannya: Tes dasar matematika Tes minat Kursus dan Tes selama 1 bulan. Dilatih oleh trainer berpengalaman dan bisa dapat sertifikat. Dapatkan peluang dan kesempatan bekerja di Biezniez. Daftarkan segera! Info detail materi teknis pelaksanaan dan lainnya dapat kontak ke http://wa.me/6281513515678,,,
spam,#CTF #Forensic #ReverseEngineering https://tina.teainside.me/ Dapatkan flagnya dan kirim ke ammarfaizi2@gmail.com Prosedur pengiriman email: 1. Subject Tina Flag. 2. Sertakan username telegrammu dan flag. 3. Tunggu balasan kami di telegram. 4. Claim hadiah uang senilai Rp.250.000 (direct transfer all bank). Pengiriman email paling lambat Minggu 27 Mei 2018 04:20 AM (Timezone: Asia/Jakarta). Note: Hanya pemenang pertama yang mendapatkan hadiah. Happy hacking!,,,
